"TAXYEAR","MAXCAPGNSTAX"
1913,15
1914,15
1915,15
1916,15
1917,67
1918,77
1919,73
1920,73
1921,73
1922,12.5
1923,12.5
1924,12.5
1925,12.5
1926,12.5
1927,12.5
1928,12.5
1929,12.5
1930,12.5
1931,12.5
1932,12.5
1933,12.5
1934,12.5
1935,12.5
1936,39
1937,39
1938,30
1939,30
1940,30
1941,30
1942,25
1943,25
1944,25
1945,25
1946,25
1947,25
1948,25
1949,25
1950,25
1951,25
1952,25
1953,25
1954,25
1955,25
1956,25
1957,25
1958,25
1959,25
1960,25
1961,25
1962,25
1963,25
1964,25
1965,25
1966,25
1967,25
1968,26.9
1969,27.5
1970,32.3
1971,34.3
1972,36.5
1973,36.5
1974,36.5
1975,36.5
1976,39.9
1977,39.9
1978,39
1979,28
1980,28
1981,23.7
1982,20
1983,20
1984,20
1985,20
1986,20
1987,28
1988,33
1989,33
1990,33
1991,28.9
1992,28.9
1993,29.2
1994,29.2
1995,29.2
1996,29.2
1997,21.2
1998,21.2
1999,21.2
2000,21.2
2001,21.2
2002,21.2
2003,16.1
2004,16.1
2005,16.1
2006,15.7
2007,15.7
2008,15.4
2009,15.4
2010,15
2011,15
2012,15
2013,25
