Age  April 1, 2010	Population Estimates (as of July 1)
Census	Estimates Base	2010	2011
Both Sexes	Male	Female	Both Sexes	Male	Female	Both Sexes	Male	Female	Both Sexes	Male	Female
Total	308,745,538	151,781,326	156,964,212	308,745,538	151,781,326	156,964,212	309,330,219	152,096,341	157,233,878	311,591,917	153,290,819	158,301,098
0	3,944,153	2,014,276	1,929,877	3,944,153	2,014,276	1,929,877	3,953,696	2,020,178	1,933,518	3,996,537	2,043,710	1,952,827
1	3,978,070	2,030,853	1,947,217	3,978,070	2,030,853	1,947,217	3,958,238	2,020,512	1,937,726	3,969,022	2,027,089	1,941,933
2	4,096,929	2,092,198	2,004,731	4,096,929	2,092,198	2,004,731	4,091,045	2,088,874	2,002,171	3,971,760	2,026,999	1,944,761
3	4,119,040	2,104,550	2,014,490	4,119,040	2,104,550	2,014,490	4,112,099	2,101,508	2,010,591	4,102,285	2,094,735	2,007,550
4	4,063,170	2,077,550	1,985,620	4,063,170	2,077,550	1,985,620	4,077,864	2,084,564	1,993,300	4,122,454	2,106,967	2,015,487
5	4,056,858	2,072,094	1,984,764	4,056,858	2,072,094	1,984,764	4,064,834	2,076,694	1,988,140	4,088,149	2,089,887	1,998,262
6	4,066,381	2,075,319	1,991,062	4,066,381	2,075,319	1,991,062	4,073,151	2,079,509	1,993,642	4,074,959	2,081,870	1,993,089
7	4,030,579	2,057,076	1,973,503	4,030,579	2,057,076	1,973,503	4,043,224	2,063,336	1,979,888	4,083,146	2,084,600	1,998,546
8	4,046,486	2,065,453	1,981,033	4,046,486	2,065,453	1,981,033	4,025,719	2,054,613	1,971,106	4,052,957	2,068,403	1,984,554
9	4,148,353	2,119,696	2,028,657	4,148,353	2,119,696	2,028,657	4,125,442	2,107,217	2,018,225	4,034,985	2,059,427	1,975,558
10	4,172,541	2,135,996	2,036,545	4,172,541	2,135,996	2,036,545	4,186,956	2,142,291	2,044,665	4,134,144	2,111,674	2,022,470
11	4,114,415	2,103,264	2,011,151	4,114,415	2,103,264	2,011,151	4,115,400	2,104,920	2,010,480	4,195,505	2,146,783	2,048,722
12	4,106,243	2,100,145	2,006,098	4,106,243	2,100,145	2,006,098	4,113,160	2,103,794	2,009,366	4,124,205	2,109,723	2,014,482
13	4,118,013	2,104,914	2,013,099	4,118,013	2,104,914	2,013,099	4,119,380	2,104,973	2,014,407	4,122,078	2,108,648	2,013,430
14	4,165,982	2,135,543	2,030,439	4,165,982	2,135,543	2,030,439	4,145,239	2,122,903	2,022,336	4,128,920	2,110,202	2,018,718
15	4,242,820	2,177,022	2,065,798	4,242,820	2,177,022	2,065,798	4,230,770	2,170,563	2,060,207	4,156,836	2,129,503	2,027,333
16	4,316,139	2,216,034	2,100,105	4,316,139	2,216,034	2,100,105	4,312,867	2,215,031	2,097,836	4,245,479	2,179,126	2,066,353
17	4,395,295	2,263,153	2,132,142	4,395,295	2,263,153	2,132,142	4,375,474	2,252,650	2,122,824	4,330,851	2,225,733	2,105,118
18	4,500,855	2,305,473	2,195,382	4,500,855	2,305,473	2,195,382	4,490,211	2,305,627	2,184,584	4,396,167	2,264,743	2,131,424
19	4,585,234	2,341,984	2,243,250	4,585,234	2,341,984	2,243,250	4,570,819	2,334,885	2,235,934	4,514,710	2,319,841	2,194,869
20	4,519,129	2,308,319	2,210,810	4,519,129	2,308,319	2,210,810	4,568,341	2,332,199	2,236,142	4,596,113	2,349,205	2,246,908
21	4,354,294	2,223,198	2,131,096	4,354,294	2,223,198	2,131,096	4,387,515	2,241,240	2,146,275	4,592,336	2,345,167	2,247,169
22	4,264,642	2,177,797	2,086,845	4,264,642	2,177,797	2,086,845	4,286,835	2,188,594	2,098,241	4,411,032	2,253,092	2,157,940
23	4,198,571	2,140,799	2,057,772	4,198,571	2,140,799	2,057,772	4,217,193	2,151,631	2,065,562	4,311,760	2,200,911	2,110,849
24	4,249,363	2,164,063	2,085,300	4,249,363	2,164,063	2,085,300	4,243,745	2,162,112	2,081,633	4,242,591	2,164,325	2,078,266
25	4,262,350	2,161,308	2,101,042	4,262,350	2,161,308	2,101,042	4,289,464	2,177,894	2,111,570	4,267,827	2,173,555	2,094,272
26	4,152,305	2,097,088	2,055,217	4,152,305	2,097,088	2,055,217	4,161,028	2,103,048	2,057,980	4,311,255	2,187,766	2,123,489
27	4,248,869	2,140,651	2,108,218	4,248,869	2,140,651	2,108,218	4,237,156	2,135,898	2,101,258	4,181,448	2,112,504	2,068,944
28	4,215,249	2,118,605	2,096,644	4,215,249	2,118,605	2,096,644	4,247,578	2,135,589	2,111,989	4,255,686	2,144,514	2,111,172
29	4,223,076	2,117,939	2,105,137	4,223,076	2,117,939	2,105,137	4,210,323	2,112,838	2,097,485	4,263,578	2,143,176	2,120,402
