2016
Age,"Male % of Population","Female % of Population"
0,0.63%,0.6%
1,0.63%,0.6%
2,0.63%,0.6%
3,0.63%,0.6%
4,0.63%,0.6%
5,0.64%,0.61%
6,0.64%,0.61%
7,0.64%,0.61%
8,0.66%,0.63%
9,0.66%,0.63%
10,0.66%,0.63%
11,0.65%,0.63%
12,0.65%,0.63%
13,0.65%,0.62%
14,0.65%,0.62%
15,0.66%,0.64%
16,0.68%,0.64%
17,0.67%,0.64%
18,0.67%,0.64%
19,0.67%,0.64%
20,0.68%,0.65%
21,0.7%,0.66%
22,0.71%,0.67%
23,0.72%,0.68%
24,0.74%,0.7%
25,0.75%,0.72%
26,0.75%,0.72%
27,0.72%,0.69%
28,0.7%,0.68%
29,0.69%,0.67%
30,0.69%,0.67%
31,0.69%,0.68%
32,0.67%,0.66%
33,0.68%,0.67%
34,0.67%,0.67%
35,0.66%,0.66%
36,0.68%,0.67%
37,0.63%,0.64%
38,0.62%,0.62%
39,0.61%,0.62%
40,0.59%,0.6%
41,0.61%,0.62%
42,0.59%,0.6%
43,0.6%,0.61%
44,0.63%,0.64%
45,0.66%,0.68%
46,0.67%,0.68%
47,0.64%,0.65%
48,0.62%,0.63%
49,0.62%,0.64%
50,0.63%,0.65%
51,0.67%,0.69%
52,0.68%,0.7%
53,0.67%,0.7%
54,0.67%,0.7%
55,0.68%,0.71%
56,0.68%,0.72%
57,0.66%,0.69%
58,0.65%,0.69%
59,0.64%,0.68%
60,0.61%,0.66%
61,0.61%,0.66%
62,0.58%,0.63%
63,0.55%,0.61%
64,0.53%,0.59%
65,0.51%,0.57%
66,0.5%,0.56%
67,0.48%,0.54%
68,0.47%,0.53%
69,0.49%,0.55%
70,0.36%,0.41%
71,0.35%,0.41%
72,0.34%,0.4%
73,0.34%,0.4%
74,0.3%,0.35%
75,0.27%,0.32%
76,0.25%,0.3%
77,0.23%,0.29%
78,0.22%,0.27%
79,0.19%,0.25%
80,0.18%,0.24%
81,0.17%,0.23%
82,0.15%,0.2%
83,0.14%,0.2%
84,0.13%,0.19%
85,0.11%,0.18%
86,0.1%,0.17%
87,0.09%,0.15%
88,0.08%,0.14%
89,0.07%,0.12%
90,0.05%,0.11%
91,0.05%,0.09%
92,0.04%,0.08%
93,0.03%,0.06%
94,0.02%,0.05%
95,0.02%,0.04%
96,0.01%,0.03%
97,0.01%,0.02%
98,0.01%,0.02%
99,0%,0.01%
100+,0.01%,0.02%

2015
Age,"Male % of Population","Female % of Population"
0,0.63%,0.61%
1,0.63%,0.6%
2,0.63%,0.6%
3,0.63%,0.61%
4,0.64%,0.61%
5,0.64%,0.61%
6,0.64%,0.61%
7,0.66%,0.63%
8,0.66%,0.64%
9,0.66%,0.63%
10,0.66%,0.63%
11,0.66%,0.63%
12,0.65%,0.63%
13,0.65%,0.62%
14,0.67%,0.64%
15,0.68%,0.65%
16,0.67%,0.64%
17,0.67%,0.64%
18,0.67%,0.64%
19,0.68%,0.65%
20,0.7%,0.66%
21,0.71%,0.67%
22,0.73%,0.68%
23,0.74%,0.7%
24,0.75%,0.72%
25,0.75%,0.72%
26,0.72%,0.69%
27,0.7%,0.68%
28,0.69%,0.67%
29,0.69%,0.67%
30,0.69%,0.68%
31,0.67%,0.66%
32,0.68%,0.67%
33,0.68%,0.67%
34,0.67%,0.67%
35,0.68%,0.68%
36,0.64%,0.64%
37,0.62%,0.63%
38,0.62%,0.62%
39,0.6%,0.6%
40,0.62%,0.62%
41,0.6%,0.6%
42,0.6%,0.62%
43,0.63%,0.64%
44,0.67%,0.68%
45,0.68%,0.69%
46,0.64%,0.65%
47,0.63%,0.64%
48,0.63%,0.64%
49,0.64%,0.65%
50,0.68%,0.69%
51,0.68%,0.71%
52,0.68%,0.71%
53,0.68%,0.71%
54,0.69%,0.72%
55,0.69%,0.72%
56,0.67%,0.7%
57,0.66%,0.7%
58,0.65%,0.69%
59,0.62%,0.67%
60,0.62%,0.67%
61,0.59%,0.64%
62,0.56%,0.62%
63,0.54%,0.59%
64,0.52%,0.58%
65,0.51%,0.56%
66,0.49%,0.55%
67,0.49%,0.54%
68,0.51%,0.56%
69,0.37%,0.42%
70,0.36%,0.41%
71,0.35%,0.4%
72,0.36%,0.41%
73,0.31%,0.36%
74,0.28%,0.33%
75,0.26%,0.31%
76,0.24%,0.3%
77,0.23%,0.28%
78,0.21%,0.26%
79,0.19%,0.25%
80,0.18%,0.24%
81,0.16%,0.22%
82,0.15%,0.21%
83,0.14%,0.2%
84,0.13%,0.19%
85,0.12%,0.18%
86,0.1%,0.16%
87,0.09%,0.15%
88,0.08%,0.14%
89,0.06%,0.12%
90,0.05%,0.11%
91,0.04%,0.09%
92,0.04%,0.08%
93,0.03%,0.06%
94,0.02%,0.05%
95,0.01%,0.04%
96,0.01%,0.03%
97,0.01%,0.02%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.02%

2014
Age,"Male % of Population","Female % of Population"
0,0.64%,0.61%
1,0.63%,0.61%
2,0.64%,0.61%
3,0.64%,0.61%
4,0.64%,0.62%
5,0.64%,0.62%
6,0.66%,0.64%
7,0.67%,0.64%
8,0.66%,0.63%
9,0.66%,0.63%
10,0.66%,0.63%
11,0.65%,0.63%
12,0.65%,0.63%
13,0.67%,0.64%
14,0.68%,0.65%
15,0.67%,0.64%
16,0.67%,0.64%
17,0.67%,0.64%
18,0.68%,0.65%
19,0.7%,0.66%
20,0.71%,0.67%
21,0.72%,0.68%
22,0.74%,0.7%
23,0.75%,0.72%
24,0.75%,0.72%
25,0.72%,0.69%
26,0.7%,0.68%
27,0.69%,0.67%
28,0.69%,0.67%
29,0.7%,0.68%
30,0.67%,0.66%
31,0.68%,0.67%
32,0.68%,0.68%
33,0.67%,0.67%
34,0.69%,0.68%
35,0.64%,0.64%
36,0.63%,0.63%
37,0.62%,0.63%
38,0.6%,0.61%
39,0.62%,0.62%
40,0.6%,0.61%
41,0.61%,0.62%
42,0.64%,0.65%
43,0.67%,0.68%
44,0.68%,0.69%
45,0.65%,0.66%
46,0.63%,0.64%
47,0.63%,0.65%
48,0.65%,0.66%
49,0.68%,0.7%
50,0.69%,0.71%
51,0.69%,0.72%
52,0.69%,0.72%
53,0.7%,0.73%
54,0.7%,0.73%
55,0.68%,0.71%
56,0.67%,0.71%
57,0.66%,0.7%
58,0.64%,0.68%
59,0.63%,0.67%
60,0.6%,0.65%
61,0.58%,0.63%
62,0.55%,0.6%
63,0.53%,0.59%
64,0.52%,0.57%
65,0.5%,0.56%
66,0.5%,0.55%
67,0.52%,0.57%
68,0.38%,0.43%
69,0.37%,0.42%
70,0.36%,0.41%
71,0.37%,0.42%
72,0.32%,0.37%
73,0.29%,0.34%
74,0.27%,0.32%
75,0.25%,0.3%
76,0.24%,0.29%
77,0.22%,0.27%
78,0.2%,0.26%
79,0.19%,0.25%
80,0.17%,0.23%
81,0.16%,0.22%
82,0.15%,0.21%
83,0.14%,0.2%
84,0.13%,0.2%
85,0.11%,0.18%
86,0.1%,0.17%
87,0.09%,0.15%
88,0.08%,0.14%
89,0.06%,0.12%
90,0.05%,0.11%
91,0.04%,0.09%
92,0.03%,0.08%
93,0.03%,0.06%
94,0.02%,0.05%
95,0.01%,0.04%
96,0.01%,0.03%
97,0.01%,0.02%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.02%

2013
Age,"Male % of Population","Female % of Population"
0,0.64%,0.61%
1,0.64%,0.61%
2,0.65%,0.62%
3,0.64%,0.62%
4,0.64%,0.62%
5,0.67%,0.64%
6,0.67%,0.64%
7,0.66%,0.64%
8,0.66%,0.63%
9,0.66%,0.64%
10,0.66%,0.63%
11,0.65%,0.63%
12,0.67%,0.64%
13,0.68%,0.65%
14,0.67%,0.64%
15,0.67%,0.64%
16,0.67%,0.64%
17,0.68%,0.65%
18,0.7%,0.66%
19,0.71%,0.67%
20,0.73%,0.68%
21,0.74%,0.7%
22,0.75%,0.72%
23,0.75%,0.72%
24,0.72%,0.69%
25,0.7%,0.68%
26,0.69%,0.67%
27,0.69%,0.67%
28,0.7%,0.68%
29,0.67%,0.66%
30,0.68%,0.68%
31,0.68%,0.68%
32,0.67%,0.67%
33,0.69%,0.68%
34,0.64%,0.64%
35,0.63%,0.63%
36,0.62%,0.63%
37,0.61%,0.61%
38,0.63%,0.63%
39,0.6%,0.61%
40,0.61%,0.62%
41,0.64%,0.65%
42,0.68%,0.69%
43,0.69%,0.7%
44,0.65%,0.66%
45,0.64%,0.65%
46,0.64%,0.65%
47,0.65%,0.66%
48,0.69%,0.71%
49,0.7%,0.72%
50,0.7%,0.72%
51,0.7%,0.72%
52,0.71%,0.73%
53,0.71%,0.74%
54,0.69%,0.72%
55,0.68%,0.72%
56,0.67%,0.71%
57,0.65%,0.69%
58,0.64%,0.68%
59,0.61%,0.66%
60,0.59%,0.63%
61,0.56%,0.61%
62,0.54%,0.6%
63,0.53%,0.58%
64,0.52%,0.57%
65,0.51%,0.56%
66,0.53%,0.59%
67,0.39%,0.43%
68,0.38%,0.43%
69,0.37%,0.42%
70,0.38%,0.43%
71,0.33%,0.38%
72,0.3%,0.35%
73,0.28%,0.33%
74,0.26%,0.31%
75,0.25%,0.3%
76,0.23%,0.28%
77,0.21%,0.27%
78,0.2%,0.26%
79,0.18%,0.24%
80,0.17%,0.23%
81,0.16%,0.22%
82,0.15%,0.22%
83,0.14%,0.21%
84,0.12%,0.19%
85,0.11%,0.18%
86,0.1%,0.17%
87,0.09%,0.15%
88,0.07%,0.14%
89,0.06%,0.12%
90,0.05%,0.1%
91,0.04%,0.09%
92,0.03%,0.07%
93,0.02%,0.06%
94,0.02%,0.04%
95,0.01%,0.04%
96,0.01%,0.03%
97,0.01%,0.02%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.02%

2012
Age,"Male % of Population","Female % of Population"
0,0.64%,0.61%
1,0.65%,0.62%
2,0.65%,0.62%
3,0.65%,0.62%
4,0.67%,0.64%
5,0.67%,0.64%
6,0.67%,0.64%
7,0.66%,0.64%
8,0.67%,0.64%
9,0.66%,0.63%
10,0.66%,0.63%
11,0.67%,0.65%
12,0.69%,0.65%
13,0.67%,0.64%
14,0.67%,0.64%
15,0.67%,0.65%
16,0.68%,0.65%
17,0.7%,0.66%
18,0.71%,0.68%
19,0.73%,0.68%
20,0.74%,0.7%
21,0.75%,0.72%
22,0.75%,0.72%
23,0.72%,0.69%
24,0.7%,0.68%
25,0.69%,0.67%
26,0.7%,0.67%
27,0.7%,0.68%
28,0.68%,0.66%
29,0.69%,0.68%
30,0.68%,0.68%
31,0.68%,0.67%
32,0.69%,0.69%
33,0.65%,0.65%
34,0.64%,0.64%
35,0.63%,0.63%
36,0.61%,0.61%
37,0.63%,0.63%
38,0.61%,0.62%
39,0.62%,0.63%
40,0.65%,0.66%
41,0.68%,0.69%
42,0.7%,0.7%
43,0.66%,0.67%
44,0.65%,0.65%
45,0.64%,0.66%
46,0.66%,0.67%
47,0.7%,0.71%
48,0.71%,0.73%
49,0.71%,0.73%
50,0.71%,0.73%
51,0.71%,0.74%
52,0.72%,0.75%
53,0.7%,0.72%
54,0.69%,0.72%
55,0.68%,0.72%
56,0.66%,0.69%
57,0.65%,0.69%
58,0.62%,0.67%
59,0.6%,0.64%
60,0.57%,0.62%
61,0.55%,0.6%
62,0.54%,0.59%
63,0.53%,0.57%
64,0.52%,0.57%
65,0.54%,0.59%
66,0.4%,0.44%
67,0.39%,0.44%
68,0.38%,0.43%
69,0.39%,0.44%
70,0.34%,0.39%
71,0.31%,0.36%
72,0.29%,0.34%
73,0.27%,0.32%
74,0.26%,0.31%
75,0.24%,0.29%
76,0.22%,0.28%
77,0.21%,0.27%
78,0.19%,0.25%
79,0.18%,0.24%
80,0.17%,0.24%
81,0.16%,0.23%
82,0.15%,0.22%
83,0.14%,0.21%
84,0.13%,0.2%
85,0.11%,0.18%
86,0.1%,0.17%
87,0.09%,0.16%
88,0.07%,0.14%
89,0.06%,0.12%
90,0.05%,0.1%
91,0.04%,0.09%
92,0.03%,0.07%
93,0.02%,0.05%
94,0.02%,0.04%
95,0.01%,0.03%
96,0.01%,0.03%
97,0.01%,0.02%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.02%

2011
Age,"Male % of Population","Female % of Population"
0,0.65%,0.62%
1,0.65%,0.62%
2,0.65%,0.62%
3,0.67%,0.64%
4,0.68%,0.65%
5,0.67%,0.64%
6,0.67%,0.64%
7,0.67%,0.64%
8,0.66%,0.64%
9,0.66%,0.63%
10,0.68%,0.65%
11,0.69%,0.66%
12,0.68%,0.65%
13,0.68%,0.65%
14,0.68%,0.65%
15,0.68%,0.65%
16,0.7%,0.66%
17,0.71%,0.68%
18,0.73%,0.69%
19,0.74%,0.71%
20,0.75%,0.72%
21,0.75%,0.72%
22,0.72%,0.69%
23,0.71%,0.68%
24,0.69%,0.67%
25,0.7%,0.67%
26,0.7%,0.68%
27,0.68%,0.66%
28,0.69%,0.68%
29,0.69%,0.68%
30,0.68%,0.68%
31,0.7%,0.69%
32,0.65%,0.65%
33,0.64%,0.64%
34,0.63%,0.63%
35,0.61%,0.62%
36,0.63%,0.63%
37,0.61%,0.62%
38,0.62%,0.63%
39,0.65%,0.66%
40,0.69%,0.7%
41,0.7%,0.71%
42,0.66%,0.67%
43,0.65%,0.66%
44,0.65%,0.66%
45,0.66%,0.67%
46,0.7%,0.72%
47,0.72%,0.73%
48,0.72%,0.74%
49,0.71%,0.74%
50,0.72%,0.75%
51,0.73%,0.75%
52,0.71%,0.73%
53,0.7%,0.73%
54,0.69%,0.73%
55,0.67%,0.7%
56,0.66%,0.7%
57,0.63%,0.67%
58,0.61%,0.65%
59,0.58%,0.63%
60,0.57%,0.61%
61,0.55%,0.6%
62,0.54%,0.58%
63,0.53%,0.58%
64,0.56%,0.6%
65,0.41%,0.45%
66,0.4%,0.45%
67,0.39%,0.44%
68,0.4%,0.45%
69,0.35%,0.4%
70,0.32%,0.37%
71,0.3%,0.35%
72,0.28%,0.33%
73,0.27%,0.32%
74,0.25%,0.3%
75,0.24%,0.29%
76,0.22%,0.28%
77,0.2%,0.26%
78,0.19%,0.25%
79,0.18%,0.25%
80,0.17%,0.24%
81,0.17%,0.24%
82,0.15%,0.22%
83,0.14%,0.21%
84,0.12%,0.2%
85,0.11%,0.18%
86,0.1%,0.17%
87,0.08%,0.15%
88,0.07%,0.14%
89,0.06%,0.12%
90,0.05%,0.1%
91,0.04%,0.09%
92,0.03%,0.07%
93,0.02%,0.05%
94,0.02%,0.04%
95,0.01%,0.03%
96,0.01%,0.02%
97,0.01%,0.02%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.02%

2010
Age,"Male % of Population","Female % of Population"
0,0.65%,0.62%
1,0.65%,0.63%
2,0.68%,0.65%
3,0.68%,0.65%
4,0.67%,0.64%
5,0.67%,0.64%
6,0.67%,0.64%
7,0.67%,0.64%
8,0.66%,0.64%
9,0.68%,0.65%
10,0.69%,0.66%
11,0.68%,0.65%
12,0.68%,0.65%
13,0.68%,0.65%
14,0.69%,0.65%
15,0.7%,0.67%
16,0.72%,0.68%
17,0.73%,0.69%
18,0.75%,0.71%
19,0.75%,0.72%
20,0.75%,0.72%
21,0.72%,0.69%
22,0.71%,0.68%
23,0.7%,0.67%
24,0.7%,0.67%
25,0.7%,0.68%
26,0.68%,0.67%
27,0.69%,0.68%
28,0.69%,0.68%
29,0.68%,0.68%
30,0.7%,0.69%
31,0.66%,0.65%
32,0.64%,0.64%
33,0.63%,0.64%
34,0.62%,0.62%
35,0.64%,0.64%
36,0.62%,0.62%
37,0.63%,0.63%
38,0.66%,0.66%
39,0.69%,0.7%
40,0.71%,0.71%
41,0.67%,0.68%
42,0.66%,0.66%
43,0.66%,0.67%
44,0.67%,0.68%
45,0.71%,0.72%
46,0.72%,0.74%
47,0.72%,0.74%
48,0.72%,0.74%
49,0.73%,0.76%
50,0.74%,0.76%
51,0.71%,0.74%
52,0.71%,0.74%
53,0.7%,0.73%
54,0.68%,0.71%
55,0.67%,0.71%
56,0.64%,0.68%
57,0.62%,0.66%
58,0.59%,0.63%
59,0.58%,0.62%
60,0.56%,0.61%
61,0.55%,0.59%
62,0.54%,0.59%
63,0.57%,0.61%
64,0.42%,0.46%
65,0.41%,0.45%
66,0.4%,0.45%
67,0.41%,0.46%
68,0.36%,0.41%
69,0.33%,0.38%
70,0.31%,0.36%
71,0.29%,0.34%
72,0.28%,0.33%
73,0.26%,0.31%
74,0.25%,0.3%
75,0.23%,0.29%
76,0.21%,0.27%
77,0.2%,0.26%
78,0.19%,0.26%
79,0.19%,0.25%
80,0.18%,0.25%
81,0.16%,0.23%
82,0.15%,0.22%
83,0.14%,0.21%
84,0.12%,0.2%
85,0.11%,0.19%
86,0.1%,0.17%
87,0.08%,0.15%
88,0.07%,0.14%
89,0.06%,0.12%
90,0.05%,0.1%
91,0.03%,0.08%
92,0.03%,0.07%
93,0.02%,0.05%
94,0.01%,0.04%
95,0.01%,0.03%
96,0.01%,0.02%
97,0%,0.02%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.01%

